"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 27 14:00:03 GMT 2024","Fri Sep 27 14:00:03 GMT 2024","23","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15843@egServiceTarget&serviceId=9327@egService",""
"failed","Fri Sep 27 13:52:15 GMT 2024","Fri Sep 27 13:52:15 GMT 2024","19","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=13005@egServiceTarget&serviceId=7574@egService",""
"passed","Fri Sep 27 14:00:00 GMT 2024","Fri Sep 27 14:00:00 GMT 2024","18","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=14883@egServiceTarget&serviceId=8463@egService",""
"passed","Fri Sep 27 13:58:09 GMT 2024","Fri Sep 27 13:58:09 GMT 2024","18","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=19928@egServiceTarget&serviceId=11168@egService",""
"passed","Fri Sep 27 13:55:40 GMT 2024","Fri Sep 27 13:55:40 GMT 2024","27","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=21155@egServiceTarget&serviceId=11734@egService",""
"passed","Fri Sep 27 13:53:49 GMT 2024","Fri Sep 27 13:53:49 GMT 2024","27","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=20816@egServiceTarget&serviceId=9393@egService",""
"passed","Fri Sep 27 14:03:05 GMT 2024","Fri Sep 27 14:03:05 GMT 2024","21","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=20738@egServiceTarget&serviceId=11572@egService",""
"passed","Fri Sep 27 13:55:48 GMT 2024","Fri Sep 27 13:55:48 GMT 2024","25","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=16456@egServiceTarget&serviceId=9778@egService",""
"passed","Fri Sep 27 14:00:03 GMT 2024","Fri Sep 27 14:00:03 GMT 2024","16","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=20231@egServiceTarget&serviceId=11315@egService",""
"passed","Fri Sep 27 13:53:32 GMT 2024","Fri Sep 27 13:53:32 GMT 2024","21","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=12898@egServiceTarget&serviceId=7517@egService",""
