,name,link,total,failed,%
15639@egOrganization,Администрация Губернатора Архангельской области и Правительства Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15639@egOrganization,0,0,100.00%
21195@egOrganization,Агентство государственной противопожарной службы и гражданской защиты Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=21195@egOrganization,0,0,100.00%
15853@egOrganization,Агентство записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15853@egOrganization,12,1,8.33%
22221@egOrganization,Агентство по организационному обеспечению деятельности мировых судей Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22221@egOrganization,0,0,100.00%
21194@egOrganization,Агентство по тарифам и ценам Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=21194@egOrganization,0,0,100.00%
15640@egOrganization,Государственная жилищная инспекция Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15640@egOrganization,8,2,25.00%
16003@egOrganization,Инспекция государственного строительного надзора Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=16003@egOrganization,3,0,0.00%
15975@egOrganization,Инспекция по ветеринарному надзору Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15975@egOrganization,1,0,0.00%
15940@egOrganization,Инспекция по охране объектов культурного наследия Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15940@egOrganization,12,5,41.67%
15973@egOrganization,Контрактное агентство Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15973@egOrganization,0,0,100.00%
15641@egOrganization,Министерство агропромышленного комплекса и торговли Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15641@egOrganization,12,1,8.33%
15939@egOrganization,Министерство здравоохранения Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15939@egOrganization,19,9,47.37%
15700@egOrganization,Министерство имущественных отношений Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15700@egOrganization,9,2,22.22%
15937@egOrganization,Министерство культуры Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15937@egOrganization,5,2,40.00%
15648@egOrganization,Министерство образования Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15648@egOrganization,20,15,75.00%
15883@egOrganization,Министерство природных ресурсов и лесопромышленного комплекса Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15883@egOrganization,81,19,23.46%
21435@egOrganization,Министерство связи и информационных технологий Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=21435@egOrganization,0,0,100.00%
16004@egOrganization,Министерство спорта Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=16004@egOrganization,5,0,0.00%
15938@egOrganization,Министерство строительства и архитектуры Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15938@egOrganization,7,0,0.00%
15965@egOrganization,Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15965@egOrganization,2,1,50.00%
15880@egOrganization,Министерство транспорта Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15880@egOrganization,18,0,0.00%
15877@egOrganization,"Министерство труда, занятости и социального развития Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15877@egOrganization,181,57,31.49%
22454@egOrganization,Министерство финансов Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22454@egOrganization,1,1,100.00%
21503@egOrganization,"Министерство экономического развития, промышленности и науки Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=21503@egOrganization,0,0,100.00%
22236@egOrganization,Правительство Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22236@egOrganization,0,0,100.00%
15875@egOrganization,Межтерриториальный отдел по Вельскому и Шенкурскому районам агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15875@egOrganization,0,0,100.00%
15870@egOrganization,"Межтерриториальный отдел по г. Коряжме, Вилегодскому и Ленскому районам агентства записи актов гражданского состояния Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15870@egOrganization,0,0,100.00%
15866@egOrganization,"Межтерриториальный отдел по Котласскому, Верхнетоемскому и Красноборскому районам агентства записи актов гражданского состояния Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15866@egOrganization,0,0,100.00%
15856@egOrganization,"Межтерриториальный отдел по Пинежскому, Лешуконскому и Мезенскому районам агентства записи актов гражданского состояния Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15856@egOrganization,0,0,100.00%
15857@egOrganization,Территориальный отдел по Виноградовскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15857@egOrganization,0,0,100.00%
15873@egOrganization,Территориальный отдел по г. Архангельску агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15873@egOrganization,0,0,100.00%
15864@egOrganization,Территориальный отдел по г. Мирному агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15864@egOrganization,0,0,100.00%
15872@egOrganization,Территориальный отдел по г. Новодвинску агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15872@egOrganization,0,0,100.00%
15867@egOrganization,Территориальный отдел по г. Северодвинску агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15867@egOrganization,0,0,100.00%
15874@egOrganization,Территориальный отдел по Каргопольскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15874@egOrganization,0,0,100.00%
15862@egOrganization,Территориальный отдел по Коношскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15862@egOrganization,0,0,100.00%
15861@egOrganization,Территориальный отдел по Няндомскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15861@egOrganization,0,0,100.00%
