,Ссылка,Всего услуг,"Полностью электронных, %успешных","Частично электронных, %успешных","Неэлектронных, %успешных",% успешных
"Министерство труда, занятости и социального развития Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15877@egOrganization,84,"46, 67.39%","9, 33.33%","29, 82.76%",69.05%
"Администрация муниципального образования ""Северодвинск""",https://gosuslugi29.ru/pgu/department/info.htm?id=15676@egOrganization,68,"35, 91.43%","1, 100.00%","32, 100.00%",95.59%
Администрация Виноградовского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15692@egOrganization,60,"28, 78.57%","0, 100.00%","32, 84.38%",81.67%
"Администрация городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=15678@egOrganization,57,"17, 64.71%","20, 10.00%","20, 65.00%",45.61%
Администрация Мирного,https://gosuslugi29.ru/pgu/department/info.htm?id=15649@egOrganization,54,"29, 93.10%","0, 100.00%","25, 96.00%",94.44%
Администрация Вилегодского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15680@egOrganization,46,"17, 94.12%","0, 100.00%","29, 79.31%",84.78%
Администрация городского округа Архангельской области «Город Коряжма»,https://gosuslugi29.ru/pgu/department/info.htm?id=15664@egOrganization,46,"20, 85.00%","2, 50.00%","24, 91.67%",86.96%
"Администрация городского округа Архангельской области ""Город Новодвинск""",https://gosuslugi29.ru/pgu/department/info.htm?id=15698@egOrganization,45,"28, 100.00%","0, 100.00%","17, 94.12%",97.78%
Администрация Няндомского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15690@egOrganization,42,"18, 88.89%","1, 100.00%","23, 91.30%",90.48%
Администрация Шенкурского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22464@egOrganization,42,"35, 88.57%","0, 100.00%","7, 100.00%",90.48%
Министерство природных ресурсов и лесопромышленного комплекса Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15883@egOrganization,41,"20, 75.00%","0, 100.00%","21, 71.43%",73.17%
"Администрация муниципального образования ""Оксовское""",https://gosuslugi29.ru/pgu/department/info.htm?id=16151@egOrganization,40,"0, 100.00%","0, 100.00%","40, 0.00%",0.00%
"Администрация городского округа Архангельской области ""Котлас""",https://gosuslugi29.ru/pgu/department/info.htm?id=15670@egOrganization,36,"20, 95.00%","0, 100.00%","16, 93.75%",94.44%
Администрация Котласского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22456@egOrganization,35,"24, 91.67%","0, 100.00%","11, 100.00%",94.29%
"Администрация муниципального  образования ""Вельский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15694@egOrganization,32,"12, 58.33%","0, 100.00%","20, 50.00%",53.12%
"Администрация муниципального образования ""Федовское"" Плесецкого муниципального района Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=16164@egOrganization,32,"0, 100.00%","0, 100.00%","32, 3.12%",3.12%
"Администрация Муниципального образования ""Ленский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15682@egOrganization,31,"22, 90.91%","1, 0.00%","8, 25.00%",70.97%
Администрация Верхнетоемского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15684@egOrganization,30,"11, 100.00%","0, 100.00%","19, 94.74%",96.67%
Администрация Устьянского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15668@egOrganization,30,"22, 77.27%","0, 100.00%","8, 100.00%",83.33%
Администрация Мезенского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22466@egOrganization,29,"18, 88.89%","1, 0.00%","10, 90.00%",86.21%
"Администрация муниципального образования ""Пинежский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15651@egOrganization,28,"6, 33.33%","0, 100.00%","22, 63.64%",57.14%
Администрация Холмогорского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22457@egOrganization,28,"7, 100.00%","0, 100.00%","21, 85.71%",89.29%
"Администрация муниципального образования ""Коношский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15659@egOrganization,25,"14, 92.86%","1, 0.00%","10, 50.00%",72.00%
Администрация Онежского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15696@egOrganization,25,"10, 80.00%","0, 100.00%","15, 93.33%",88.00%
Администрация Красноборского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15688@egOrganization,23,"9, 88.89%","1, 0.00%","13, 100.00%",91.30%
Администрация Плесецкого муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15653@egOrganization,21,"5, 100.00%","0, 100.00%","16, 62.50%",71.43%
Администрация Каргопольского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15655@egOrganization,18,"8, 62.50%","0, 100.00%","10, 60.00%",61.11%
"Городское поселение ""Вельское"" Вельского муниципального района Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=21202@egOrganization,18,"16, 100.00%","0, 100.00%","2, 100.00%",100.00%
"Администрация муниципального образования ""Мезенский район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15666@egOrganization,17,"1, 100.00%","0, 100.00%","16, 56.25%",58.82%
"Администрация муниципального образования ""Ундозерское"" Плесецкого муниципального района Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=21180@egOrganization,16,"0, 100.00%","0, 100.00%","16, 75.00%",75.00%
